owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Defense,Department of Defense,FY2023P12,097-0402,"Department of Defense Rapid Prototyping Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,38266.48,3695067.76,0,0,0,0,0,3733334.24,3294958.02,3695067.76,438376.22,27809485.14,3733334.24,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0403,"Creating Helpful Incentives to Produce Semi-Conductors (CHIPS) for America Defense Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0460,"Operational Test and Evaluation, Defense",Department of Defense,National Defense,Department of Defense-Military,47333326.32,1050408.94,446122026,0,0,5888.95,5888.95,494511650.21,424190665.94,3192372.77,70320984.27,342206720.84,494511650.21,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0500,"Military Construction, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,4117673525.97,264083099.57,3070625000,0,0,0,0,7452381625.54,3221003038.67,331226046.46,4231378586.87,1994363563.2,7452381625.54,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0510,"Department of Defense Base Closure Account 1990, Defense",Department of Defense,National Defense,Department of Defense-Military,80896453.64,2234023.99,0,0,0,0,0,83130477.63,51326655.61,2234023.99,31803822.02,2081287.3,83130477.63,2024-01-30
Department of Defense,Department of Defense;Department of Transportation,FY2023P12,097-0512,"Department of Defense Base Closure Account 2005, Defense",Department of Defense,National Defense,Department of Defense-Military,456709049.72,826859.67,0,0,0,0,0,457535909.39,3998176.56,826859.67,453537732.83,500534.56,457535909.39,2024-01-30
Department of Defense,Department of Defense;Department of Transportation,FY2023P12,097-0516,"Department of Defense Base Closure Account, Defense",Department of Defense,National Defense,Department of Defense-Military,519541955.35,45129490.2,574687000,0,0,2926589.22,2926589.22,1142285034.77,456041995.74,45129490.2,686243039.03,399096955.44,1142285034.77,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0765,"Family Housing Operation and Maintenance, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,11852239.8,581600.33,50113000,0,0,240,240,62547080.13,51138481.67,5142427.93,11408598.46,46065517.34,62547080.13,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0801,"Foreign Currency Fluctuations, Defense",Department of Defense,National Defense,Department of Defense-Military,968684000,1316000,0,0,0,0,0,970000000,0,0,970000000,0,970000000,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0803,"Foreign Currency Fluctuations, Construction, Defense",Department of Defense,National Defense,Department of Defense-Military,132834018,0,0,0,0,0,0,132834018,1205.49,0,132832812.51,0,132834018,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0804,"North Atlantic Treaty Organization, Security Investment Program, Defense",Department of Defense,National Defense,Department of Defense-Military,63007522.29,174341029.38,220139000,0,0,0,0,457487551.67,378477669.88,174341029.38,79009881.79,184926706.08,457487551.67,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0810,"Environmental Restoration, Defense",Department of Defense,National Defense,Department of Defense-Military,49190420,-2370000,2732000,0,0,0,0,49552420,170720,0,49381700,0,49552420,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0811,"Environmental Restoration, Formerly Used Defense Sites, Defense",Department of Defense,National Defense,Department of Defense-Military,25000000.62,-25000000,26000000,0,0,0,0,26000000.62,0,0,26000000.62,0,26000000.62,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0819,"Overseas Humanitarian, Disaster, and Civic AID, Defense",Department of Defense,National Defense,Department of Defense-Military,3909822682.78,-2823857797.89,170000000,0,0,3621.36,3621.36,1255968506.25,676617757.03,196419464.01,579350749.22,559028565.53,1255968506.25,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0833,"Defense Emergency Response Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,228600344.93,2193779.36,0,0,0,0,0,230794124.29,402685.72,2193779.36,230391438.57,48243.9,230794124.29,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0834,"Department of Defense Family Housing Improvement Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,17488071.87,47633.98,35696019.76,0,0,0,0,53231725.61,30601053.31,47633.98,22630672.3,38919217.71,53231725.61,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0836,"Department of Defense Military Unaccompanied Housing Improvement Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,503220.11,0,494000,0,0,0,0,997220.11,988000,0,9220.11,375075.68,997220.11,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0838,"Support for International Sporting Competitions, Defense",Department of Defense,National Defense,Department of Defense-Military,3718950.54,0,10377000,0,0,0,0,14095950.54,892385.48,0,13203565.06,755787.66,14095950.54,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0850,Payment to Department of Defense Medicare-Eligible Retiree Health Care Fund,Department of Defense,National Defense,Defense-related activities,0,0,9981000000,0,0,0,0,9981000000,9981000000,0,0,9981000000,9981000000,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-2093,"Joint Improvised-Threat Defeat Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,14343217.29,3273802.85,0,0,0,67177.76,67177.76,17684197.9,1957613.01,3273802.85,15726584.89,540365.91,17684197.9,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-4090,"Homeowners Assistance Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,48342517.98,0,0,0,0,0,0,48342517.98,1330151.69,0,47012366.29,648813.88,48342517.98,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-4091,"Homeowners Assistance Fund - Recovery Act, Defense",Department of Defense,National Defense,Department of Defense-Military,808163.47,0,0,0,0,0,0,808163.47,0,0,808163.47,0,808163.47,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-4555,"National Defense Stockpile Transaction Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,428341458.06,1842393.28,113500000,0,0,42077298.54,42077298.54,585761149.88,131520050.21,1842393.28,454241099.67,79334434.99,585761149.88,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-4930,"Department of Defense Working Capital Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,11267459487.82,4820038143.26,1999524000,0,90652992087.19,60309537613.47,150962529700.66,169049551331.74,156083858596.95,14704782730.05,12965692734.79,133355303946.75,169049551331.74,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-4931,"Building Maintenance Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,26640221.56,20166201.38,0,0,0,281964504.33,281964504.33,328770927.27,306037839.06,20166201.38,22733088.21,263636932.91,328770927.27,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-4932,"Defense Counterintelligence and Security Agency Working Capital Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,715290408.48,0,-30000000,0,0,1271188939.42,1271188939.42,1956479347.9,1355363622.35,0,601115725.55,1329304846.85,1956479347.9,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-4950,Pentagon Reservation Maintenance Revolving Fund,Department of Defense,National Defense,Department of Defense-Military,52866310.68,42093094.72,0,0,0,719632010.84,719632010.84,814591416.24,747149110.8,42093094.72,67442305.44,663469725.95,814591416.24,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-4965,"Emergency Response Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,11462230.88,0,0,0,0,0,0,11462230.88,0,0,11462230.88,0,11462230.88,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-5187,"Defense Cooperation Account, Defense",Department of Defense,National Defense,Department of Defense-Military,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-5188,"Disposal of Department of Defense Real Property, Defense",Department of Defense,National Defense,Department of Defense-Military,76101410.18,2513991.4,10589645.59,0,0,30476.64,30476.64,89235523.81,6777394.34,2513991.4,82458129.47,4836838.67,89235523.81,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-5189,"Lease of Department of Defense Real Property, Defense",Department of Defense,National Defense,Department of Defense-Military,221071385.06,1129658.25,41909721.29,0,0,58382.57,58382.57,264169147.17,20310166.27,1129658.25,243858980.9,11996271.89,264169147.17,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-5193,"Department of Defense Overseas Military Facility Investment Recovery Account, Defense",Department of Defense,National Defense,Department of Defense-Military,469705.02,83324,0,0,0,0,0,553029.02,0,83324,553029.02,673.6,553029.02,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-5195,"Use of Proceeds from the Transfer or Disposition of Commissary Facilities, Defense",Department of Defense,National Defense,Department of Defense-Military,1538059.31,0,-15382,0,0,0,0,1522677.31,20362.03,0,1502315.28,0,1522677.31,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-5441,"Burden Sharing Contribution, Defense",Department of Defense,National Defense,Department of Defense-Military,1147881202.3,0,714198837,0,0,0,0,1862080039.3,766041925.53,0,1096038113.77,766538388.86,1862080039.3,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-5472,"Department of Defense, Medicare-Eligible Retiree Health Care Fund",Department of Defense,Health,Health care services,0,60000000,11667325937,0,0,0,0,11727325937,11727325937,60000000,0,11627838651.69,11727325937,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-5613,"Mutually Beneficial Activities, Defense",Department of Defense,National Defense,Department of Defense-Military,27417879.13,0,0,0,0,0,0,27417879.13,3288351.73,0,24129527.4,2949571.49,27417879.13,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-5750,"Department of Defense Vietnam War Commemoration Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,4439931.91,0,0,0,0,0,0,4439931.91,3554983.83,0,884948.08,7076652.27,4439931.91,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-5751,"Contributions to the Cooperative Threat Reduction Program, Defense",Department of Defense,National Defense,Department of Defense-Military,376434.2,5380.11,3726456.81,0,0,0,0,4108271.12,3731836.92,5380.11,376434.2,679853.58,4108271.12,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-5753,"Contributions for Renewable Energy Impact Assessments and Mitigation, Defense",Department of Defense,National Defense,Department of Defense-Military,2222750.05,0,205000,0,0,0,0,2427750.05,0,0,2427750.05,285138.82,2427750.05,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-8097,Department of Defense Military Retirement Fund,Department of Defense,Income Security,Federal employee retirement and disability,0,0,74717605128.63,0,0,0,0,74717605128.63,74717605128.63,0,0,74679599143.62,74717605128.63,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-8098,"Department of Defense, Education Benefits Fund",Department of Defense,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",0,0,159116136.53,0,0,0,0,159116136.53,159116136.53,0,0,159056386.03,159116136.53,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-8163,"Department of Defense General Gift Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,7705216.05,0,103131.38,0,0,0,0,7808347.43,298473.35,0,7509874.08,255138.28,7808347.43,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-8164,"Commissary Stores Surcharge Program, Defense",Department of Defense,National Defense,Department of Defense-Military,21471137.25,16336929.83,0,0,0,240969334.28,240969334.28,278777401.36,196754840.85,16336929.83,82022560.51,189068513.18,278777401.36,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-8165,"Foreign National Employees Separation Pay Account, Defense",Department of Defense,National Defense,Department of Defense-Military,4346632.04,0,3618837.41,0,0,0,0,7965469.45,3618837.41,0,4346632.04,3544347.85,7965469.45,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-8168,"National Security Education Trust Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,306354.92,0,0,0,0,0,0,306354.92,0,40222.74,306354.92,0,306354.92,2024-01-30
